gene,degree_centrality,clustering_coeff,betweenness,kcore,loeuf,pubmed_count
VILL,0.000394964206368798,0.214285714285714,6.04428238612328e-07,8,1.091,5
VIM,0.0389533448531227,0.0861303584180965,0.00162063211314957,147,0.423,378
VIMP,0.00296223154776598,0.158757062146893,9.82149954918944e-06,52,1.689,43
VIP,0.000789928412737596,0.025,2.62428608865973e-06,15,1.412,7
VIPAS39,0.00187607998025179,0.268847795163585,4.20566816250273e-06,37,0.798,30
VIPR1,0.00947914095285115,0.0418848167539267,7.23395075838041e-05,83,1.73,10
VIPR2,0.00942977042705505,0.0444750620005511,7.6375328227212e-05,83,1.05,6
VIT,0.000148111577388299,0.333333333333333,1.23846467267548e-08,3,1.588,3
VKORC1,0.00636879782769687,0.0484496124031008,0.00019985243824706,66,1.02,27
VKORC1L1,0.00528264626018267,0.104390760007053,4.66674153984478e-05,69,0.489,27
VLDLR,0.00172796840286349,0.0789915966386555,1.35086518307217e-05,32,0.718,31
VMA21,0.00557886941495927,0.103982300884956,5.45870205645068e-05,69,1.112,26
VMAC,0.000987410515921995,0.0789473684210526,2.05934936485793e-06,18,1.749,6
VMP1,0.00942977042705505,0.112317442821714,8.26470990957889e-05,111,0.33,38
VN1R1,0.000148111577388299,0.333333333333333,3.2795728615929e-09,3,,1
VN1R10P,4.93705257960997e-05,0,0,1,,1
VN1R2,9.87410515921995e-05,0,1.60262524139622e-09,2,,2
VN1R3,4.93705257960997e-05,0,0,1,,1
VN1R5,0.000296223154776598,0.2,1.80527238127002e-08,6,,6
VNN1,0.000394964206368798,0,3.5604520248982e-06,7,1.041,1
VNN2,0.00236978523821279,0.0443262411347518,6.45872319482927e-06,42,1.568,4
VNN3,4.93705257960997e-05,0,0,1,1.119,1
VOPP1,0.000493705257960997,0.111111111111111,3.6312038936161e-07,10,0.743,4
VPRBP,0.0107134040977536,0.151903055128862,9.05573595730154e-05,121,0.109,136
VPREB1,4.93705257960997e-05,0,0,1,1.883,1
VPS11,0.00429523574426068,0.0970328789093825,3.32130586303794e-05,63,0.538,49
VPS13A,0.00557886941495927,0.194690265486726,4.99856587375198e-05,88,0.484,41
VPS13B,0.00370278943470748,0.156036036036036,3.01250452655579e-05,61,0.65,24
VPS13C,0.00617131572451247,0.123870967741936,8.36146417491047e-05,88,0.677,46
VPS13D,0.00320908417674648,0.240865384615385,3.09689332706807e-06,64,0.332,27
VPS16,0.00582572204393977,0.103578154425612,4.41603136443692e-05,78,0.818,56
VPS18,0.00612194519871637,0.102937319695778,6.19594904072092e-05,78,0.395,61
VPS25,0.00340656627993088,0.10613810741688,1.99620615023826e-05,52,0.727,33
VPS26A,0.00824487780794865,0.115864656229709,6.95253393073772e-05,95,0.484,59
VPS26B,0.00399901258948408,0.0904320987654321,2.54332789311483e-05,60,0.317,26
VPS28,0.00557886941495927,0.0809102402022756,6.91231556953546e-05,71,0.745,57
VPS29,0.00627005677610467,0.158855143107112,3.36492084770832e-05,83,0.534,49
VPS33A,0.0117008146136756,0.073696631624115,8.57452587247921e-05,105,0.44,59
VPS33B,0.00957788200444335,0.10939586560547,5.21380565523127e-05,105,0.961,52
VPS35,0.0131819303875586,0.117710005350455,0.000155971167736715,126,0.313,129
VPS36,0.00271537891878549,0.177777777777778,8.85850244648822e-06,48,0.502,34
VPS37A,0.00162922735127129,0.215909090909091,5.95742268164327e-06,31,0.722,38
VPS37B,0.00281411997037768,0.160401002506266,8.80319036465825e-06,50,0.776,33
VPS37C,0.00656627993088126,0.0816814764183185,9.07854616867021e-05,71,0.86,26
VPS37D,0.000888669464329795,0.124183006535948,7.1202238875303e-07,18,0.376,7
VPS39,0.00281411997037768,0.109649122807018,1.60208357090265e-05,48,0.684,39
VPS41,0.00296223154776598,0.138418079096045,2.18104624540297e-05,49,0.84,38
VPS45,0.00720809676623056,0.191780821917808,5.56704228404184e-05,102,0.658,50
VPS4A,0.00390027153789188,0.126906848425836,1.59715938075261e-05,64,0.347,65
VPS4B,0.00444334732164898,0.199750312109863,3.70657470203324e-05,71,0.478,45
VPS51,0.00681313255986176,0.165873267745689,2.52377645048824e-05,94,0.924,47
VPS52,0.00908417674648235,0.0750178189593728,9.78777070785915e-05,90,0.495,54
VPS53,0.00523327573438657,0.199820305480683,2.61395208976277e-05,81,0.611,37
VPS54,0.00162922735127129,0.191287878787879,4.13481514739071e-06,32,0.254,18
VPS72,0.00582572204393977,0.191366072722005,2.6794864469763e-05,82,0.847,48
VPS8,0.00345593680572698,0.122981366459627,9.26671074306529e-06,62,0.458,24
VPS9D1,0.00172796840286349,0.0521008403361345,1.28794115642684e-05,29,1.312,7
VPS9D1-AS1,4.93705257960997e-05,0,0,1,,1
VRK1,0.0136262651197235,0.22695652173913,0.000167663935011155,147,0.634,55
VRK2,0.0112071093557146,0.155666445752602,0.000106141902513052,123,1.038,62
VRK3,0.00705998518884226,0.185068452674086,6.03433769856559e-05,104,1.074,32
VRTN,0.000938039990125895,0.128654970760234,8.52995176994774e-07,18,0.264,6
VSIG1,0.00350530733152308,0.0217303822937626,1.03717029740886e-05,54,0.983,5
VSIG10,0.000345593680572698,0.428571428571429,8.39827850461483e-08,7,0.817,3
VSIG10L,4.93705257960997e-05,0,0,1,1.024,1
VSIG2,0.00153048629967909,0.10752688172043,7.17230315367451e-07,31,1.099,3
VSIG4,0.00878795359170575,0.0163778327937536,6.2055434692186e-05,80,1.684,8
VSIG8,0.00582572204393977,0.0234680573663624,7.35631954121974e-05,56,0.847,14
VSNL1,0.00153048629967909,0.0774193548387097,1.25135950575487e-05,27,0.633,13
VSTM1,0.00271537891878549,0.0424242424242424,1.53816178772452e-05,43,1.412,4
VSTM2A,0.000246852628980499,0,1.4663879759852e-07,5,0.637,5
VSTM2B,4.93705257960997e-05,0,0,1,1.208,1
VSTM2L,0.000197482103184399,0.5,9.73060928014358e-08,4,0.841,4
VSTM4,0.000592446309553197,0.0909090909090909,9.39234850541066e-07,12,0.717,4
VSX1,0.00315971365095038,0.124503968253968,3.77218694245686e-06,56,0.874,5
VSX2,0.000691187361145396,0.142857142857143,3.35562705902556e-07,14,1.043,5
VTA1,0.00691187361145396,0.195477903391572,3.36001635417913e-05,96,0.902,51
VTCN1,0.000888669464329795,0.202614379084967,4.43818530382626e-07,18,1.848,4
VTI1A,0.00340656627993088,0.257033248081842,1.06255899221644e-05,61,0.86,19
VTI1B,0.0104665514687731,0.0984530090315658,0.000129895836557503,90,0.675,53
VTN,0.00888669464329795,0.106828057107387,0.000157003681846163,103,1.06,49
VTRNA1-1,0.000148111577388299,0.666666666666667,7.18017184484494e-08,3,,3
VTRNA1-2,9.87410515921995e-05,1,0,2,,2
VTRNA2-1,4.93705257960997e-05,0,0,1,,1
VTRNA3-1P,4.93705257960997e-05,0,0,1,,1
VWA1,0.00113552209331029,0.0237154150197628,2.47676927132979e-06,19,1.066,3
VWA2,0.00172796840286349,0.117647058823529,2.9696782735528e-06,32,1.386,5
VWA3A,0.000197482103184399,0.333333333333333,3.56539935117329e-07,4,0.918,4
VWA3B,0.000641816835349297,0.102564102564103,1.4816525050802e-07,13,0.94,4
VWA5A,0.00241915576400889,0.0476190476190476,9.42642047315175e-06,41,1.463,11
VWA5B1,4.93705257960997e-05,0,0,1,1.272,1
VWA5B2,0.000592446309553197,0.136363636363636,6.48456168735995e-07,12,0.597,6
