pathway,reactome_id,n_genes,density,mean_loeuf,loeuf_variance,insularity,super_pathway,mean_paralog,mean_cds_length,clustering_score,mean_pubmed,regime,residual,mean_tau,mean_pli,complex_fraction
Mitochondrial protein import,R-HSA-1268020,65,0.1,1.06243333333333,0.237607605649718,0.0322198962410121,Other,4.69230769230769,884.630769230769,0.000564971751412429,56.4,Equilibrium,-0.00109521248916882,0.243281754191636,0.187703343542658,0.230769230769231
Pyruvate metabolism,R-HSA-70268,49,0.11790780141844,0.873854166666667,0.249180552748227,0.0254569815293329,Metabolism,4.48979591836735,1359.18367346939,0.00354609929078014,87.375,Equilibrium,-0.00114550906752885,0.385402804599916,0.278508968590612,0.224489795918367
Abortive elongation of HIV-1 transcript in the absence of Tat,R-HSA-167242,23,0.675889328063241,0.815478260869565,0.269187079051383,0.0725498515061519,Other,0.652173913043478,1393.30434782609,0,88.0434782608696,Equilibrium,-0.0011909791878934,0.227390469216651,0.238947600117948,1
Response to elevated platelet cytosolic Ca2+,R-HSA-76005,133,0.0345203488372093,0.808328125,0.223751954478346,0.0253142070435671,Other,11.5338345864662,2615.18181818182,0.00282972440944882,57.5503875968992,Equilibrium,-0.00142922134925585,0.502502413172158,0.24893415365811,0.240601503759399
Signaling by EGFR,R-HSA-177929,53,0.156748911465893,0.595339622641509,0.151736343976778,0.0265731684812696,Signal Transduction,14.4528301886792,1837.58490566038,0.00435413642960813,133.660377358491,Equilibrium,-0.00163978984404459,0.400776329157371,0.420373477364717,0.528301886792453
trans-Golgi Network Vesicle Budding,R-HSA-199992,72,0.114241001564945,0.724319444444444,0.235467516236307,0.0321816278172701,Transport & Vesicles,7.04166666666667,1865.54166666667,0.00117370892018779,72.3194444444444,Equilibrium,-0.00169151963606228,0.292257252817291,0.337032547275611,0.527777777777778
Sema3A PAK dependent Axon repulsion,R-HSA-399954,16,0.166666666666667,0.3864375,0.0330995958333333,0.007627765064836,Other,19.25,2802.9375,0,144.6875,Equilibrium,-0.00173449172571098,0.357414808804494,0.6968209173,0.6875
RHO GTPases activate CIT,R-HSA-5625900,19,0.432748538011696,0.559157894736842,0.181684695906433,0.0136594370096908,Signal Transduction,18.4736842105263,2707.57894736842,0,126.473684210526,Equilibrium,-0.00180009362559303,0.377952916356958,0.517248853606842,0.473684210526316
Metabolism of fat-soluble vitamins,R-HSA-6806667,48,0.0363475177304965,0.963340425531915,0.226074968547641,0.0224534501642935,Metabolism,7.35416666666667,2357.375,0.00925069380203515,24.7708333333333,Equilibrium,-0.00188351410386445,0.610687677413457,0.209841831219749,0.0833333333333333
Recruitment of NuMA to mitotic centrosomes,R-HSA-380320,95,0.175824175824176,0.726066666666667,0.196004647191011,0.0594267258780783,Cell Cycle & DNA,8.34736842105263,2649.35106382979,0.00399500624219725,98.8804347826087,Equilibrium,-0.0018869455283211,0.406110436322849,0.322733310696127,0.252631578947368
