pathway,reactome_id,n_genes,n_in_network,n_edges,density,mean_loeuf,loeuf_variance,insularity,root_category,super_pathway,log_density,predicted_loeuf,residual,regime
Processing of Capped Intron-Containing Pre-mRNA,R-HSA-72203,296,289,6747,0.162125144175317,0.523664310954064,0.168370585494825,0.155931498301324,Metabolism of RNA,Other,-0.790149624696503,0.670461414773667,-0.146797103819603,Equilibrium
Processing of Capped Intronless Pre-mRNA,R-HSA-75067,29,29,137,0.33743842364532,0.466896551724138,0.120421310344828,0.047478773176226,Metabolism of RNA,Other,-0.471805466420787,0.629308173060788,-0.16241162133665,Equilibrium
Processing of DNA double-strand break ends,R-HSA-5693607,80,59,442,0.2583284628872,0.750677966101695,0.169363601402689,0.0328355991382512,DNA Repair,Cell Cycle & DNA,-0.587827740192008,0.644306697621271,0.106371268480424,Equilibrium
Processing of Intronless Pre-mRNAs,R-HSA-77595,20,20,98,0.515789473684211,0.3705,0.0517781578947368,0.0501920614596671,Metabolism of RNA,Other,-0.287527525260334,0.605486047044705,-0.234986047044705,Equilibrium
Processing of SMDT1,R-HSA-8949664,16,13,26,0.333333333333333,0.976692307692308,0.180766564102564,0.0179868557592529,Transport of small molecules,Transport & Vesicles,-0.477121254719662,0.629995359915238,0.34669694777707,Equilibrium
Processive synthesis on the C-strand of the telomere,R-HSA-174414,19,19,80,0.467836257309942,0.739421052631579,0.198271701754386,0.0131622244159263,Cell Cycle,Cell Cycle & DNA,-0.32990612340021,0.610964447220633,0.128456605410946,Buffered
Processive synthesis on the lagging strand,R-HSA-69183,15,15,77,0.733333333333333,0.718266666666667,0.230306780952381,0.0144900263455024,Cell Cycle,Cell Cycle & DNA,-0.134698573897456,0.585729420096598,0.132537246570069,Equilibrium
Programmed Cell Death,R-HSA-5357801,202,188,1866,0.106155421549664,0.61308064516129,0.195057934001744,0.0630575831305758,Programmed Cell Death,Other,-0.974057820725717,0.694235742800176,-0.0811550976388853,Equilibrium
Prolactin receptor signaling,R-HSA-1170546,15,15,27,0.257142857142857,0.6182,0.271339885714286,0.0149916712937257,Immune System,Immune System,-0.589825534910951,0.644564958144746,-0.0263649581447459,Equilibrium
Prolonged ERK activation events,R-HSA-169893,14,14,29,0.318681318681319,0.3875,0.0303025769230769,0.0104523337538295,Signal Transduction,Signal Transduction,-0.496643394422138,0.63251904163844,-0.24501904163844,Equilibrium
Prostacyclin signalling through prostacyclin receptor,R-HSA-392851,19,19,69,0.403508771929825,1.23321052631579,0.286539397660819,0.0739153722549545,Hemostasis,Other,-0.394147019654899,0.619269047957586,0.613941478358204,Equilibrium
Proteasome assembly,R-HSA-9907900,52,51,1005,0.788235294117647,0.580529411764706,0.237995814117647,0.149142984343697,Metabolism of proteins,Other,-0.103344123013466,0.58167614233899,-0.00114673057428416,Equilibrium
Protein folding,R-HSA-391251,98,96,620,0.135964912280702,0.750831578947368,0.248731801119821,0.0507634994063946,Metabolism of proteins,Other,-0.866573153166181,0.680340898527032,0.0704906804203362,Equilibrium
Protein hydroxylation,R-HSA-9629569,20,18,17,0.111111111111111,0.624,0.181069294117647,0.0077466393255867,Metabolism of proteins,Other,-0.954242509439325,0.691674161964511,-0.0676741619645112,Equilibrium
Protein lipoylation,R-HSA-9857492,10,10,7,0.155555555555556,1.0389,0.143989433333333,0.0112359550561798,Metabolism of proteins,Other,-0.808114473761087,0.672783781170759,0.366116218829241,Equilibrium
Protein localization,R-HSA-9609507,164,157,678,0.0553650171484566,0.990707006369427,0.209550400783929,0.0438934386430583,Protein localization,Other,-1.25676456123265,0.730782035620368,0.259924970749058,Equilibrium
Protein methylation,R-HSA-8876725,17,14,19,0.208791208791209,0.822769230769231,0.375710358974359,0.0057005700570057,Metabolism of proteins,Other,-0.680287791368265,0.656259267618005,0.166509963151226,Equilibrium
Protein ubiquitination,R-HSA-8852135,77,63,319,0.163338453661034,0.645322580645161,0.193636320465362,0.0364404843500114,Metabolism of proteins,Other,-0.786911560230673,0.670042821103326,-0.0247202404581646,Equilibrium
Protein-protein interactions at synapses,R-HSA-6794362,88,88,209,0.0545977011494253,0.415886363636364,0.0819665156739812,0.0514334932939584,Neuronal System,Other,-1.26282564299375,0.731565568649864,-0.315679205013501,Equilibrium
Purine catabolism,R-HSA-74259,17,17,2,0.0147058823529412,1.161,0.178933,0.00495662949194548,Metabolism,Metabolism,-1.83250891270624,0.805210121844261,0.35578987815574,Equilibrium
Purine ribonucleoside monophosphate biosynthesis,R-HSA-73817,11,9,15,0.416666666666667,0.718333333333333,0.10941525,0.0160342063067878,Metabolism,Metabolism,-0.380211241711606,0.617467530878511,0.100865802454822,Equilibrium
Purine salvage,R-HSA-74217,13,12,7,0.106060606060606,1.07316666666667,0.159483242424242,0.0201438848920863,Metabolism,Metabolism,-0.974445895527612,0.694285910317656,0.378880756349011,Equilibrium
Purinergic signaling in leishmaniasis infection,R-HSA-9660826,27,26,27,0.0830769230769231,0.837615384615385,0.232200246153846,0.00774415603040298,Disease,Other,-1.08051959681989,0.707998355026254,0.129617029589131,Equilibrium
Pyrimidine catabolism,R-HSA-73621,12,11,0,0,1.16725,0.107797477272727,0,Metabolism,Metabolism,-6,1.34395337688188,-0.176703376881879,Equilibrium
Pyrimidine salvage,R-HSA-73614,11,10,3,0.0666666666666667,1.0162,0.0659821777777778,0.00923076923076923,Metabolism,Metabolism,-1.17609125905568,0.720353171707026,0.295846828292974,Equilibrium
Pyroptosis,R-HSA-5620971,27,26,37,0.113846153846154,0.915961538461539,0.235643158461538,0.0129574505340571,Programmed Cell Death,Other,-0.943681636911879,0.690308928368974,0.225652610092564,Equilibrium
Pyruvate metabolism,R-HSA-70268,49,48,133,0.11790780141844,0.873854166666667,0.249180552748227,0.0254569815293329,Metabolism,Metabolism,-0.928457458680238,0.688340856173021,0.185513310493646,Equilibrium
RA biosynthesis pathway,R-HSA-5365859,22,21,2,0.00952380952380953,1.14938095238095,0.299447247619048,0.00535475234270415,Signal Transduction,Signal Transduction,-2.02118929906994,0.829601364292566,0.319779588088386,Equilibrium
RAB GEFs exchange GTP for GDP on RABs,R-HSA-8876198,90,89,346,0.0883554647599592,0.68116091954023,0.177362113338679,0.0575132978723404,Vesicle-mediated transport,Transport & Vesicles,-1.05376658433832,0.704539918109538,-0.0233789985693081,Equilibrium
